"Meter Number","Meter Name","Meter Date","Meter Day of Week","Total Kilowatt Hour","Total Kilowatt Hour T1 (TOU1)","Voltage 1","Current 1 (Amps 1)","Total Kilowatt Hour L1","Current Direction L1","Decimal Places"
"10009540","Meter 9540","=""2018-12-12 12:19:17""","4","478.9","457.0","129.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:19:23""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:19:24""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:19:25""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:19:26""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:19:27""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:01""","4","478.9","457.0","131.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:03""","4","478.9","457.0","130.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:05""","4","478.9","457.0","130.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:07""","4","478.9","457.0","130.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:09""","4","478.9","457.0","130.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:11""","4","478.9","457.0","130.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:13""","4","478.9","457.0","130.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:15""","4","478.9","457.0","130.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:17""","4","478.9","457.0","130.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:19""","4","478.9","457.0","130.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:21""","4","478.9","457.0","130.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:23""","4","478.9","457.0","131.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:25""","4","478.9","457.0","130.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:27""","4","478.9","457.0","131.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:29""","4","478.9","457.0","131.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:31""","4","478.9","457.0","130.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:33""","4","478.9","457.0","130.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:35""","4","478.9","457.0","130.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:37""","4","478.9","457.0","130.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:39""","4","478.9","457.0","130.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:41""","4","478.9","457.0","130.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:43""","4","478.9","457.0","130.60","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:45""","4","478.9","457.0","130.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:47""","4","478.9","457.0","130.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:49""","4","478.9","457.0","130.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:51""","4","478.9","457.0","131.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:53""","4","478.9","457.0","131.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:55""","4","478.9","457.0","131.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:57""","4","478.9","457.0","131.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:33:59""","4","478.9","457.0","130.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:34:01""","4","478.9","457.0","130.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:34:03""","4","478.9","457.0","130.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:34:05""","4","478.9","457.0","130.60","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:34:07""","4","478.9","457.0","130.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:34:09""","4","478.9","457.0","130.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:34:11""","4","478.9","457.0","130.60","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:34:13""","4","478.9","457.0","131.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:34:15""","4","478.9","457.0","131.10","0","","",""
