"Meter Number","Meter Name","Meter Date","Voltage 1","Current 1 (Amps 1)"
"10009540","Meter 9540","=""2018-12-12 12:19:17""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:19:23""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:19:24""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:19:25""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:19:26""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:19:27""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:33:01""","131.00","0"
"10009540","Meter 9540","=""2018-12-12 12:33:03""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:33:05""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:33:07""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:33:09""","130.40","0"
"10009540","Meter 9540","=""2018-12-12 12:33:11""","130.40","0"
"10009540","Meter 9540","=""2018-12-12 12:33:13""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:33:15""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:33:17""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:33:19""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:33:21""","130.80","0"
"10009540","Meter 9540","=""2018-12-12 12:33:23""","131.00","0"
"10009540","Meter 9540","=""2018-12-12 12:33:25""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:33:27""","131.00","0"
"10009540","Meter 9540","=""2018-12-12 12:33:29""","131.00","0"
"10009540","Meter 9540","=""2018-12-12 12:33:31""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:33:33""","130.70","0"
"10009540","Meter 9540","=""2018-12-12 12:33:35""","130.40","0"
"10009540","Meter 9540","=""2018-12-12 12:33:37""","130.80","0"
"10009540","Meter 9540","=""2018-12-12 12:33:39""","130.70","0"
"10009540","Meter 9540","=""2018-12-12 12:33:41""","130.70","0"
"10009540","Meter 9540","=""2018-12-12 12:33:43""","130.60","0"
"10009540","Meter 9540","=""2018-12-12 12:33:45""","130.40","0"
"10009540","Meter 9540","=""2018-12-12 12:33:47""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:33:49""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:33:51""","131.00","0"
"10009540","Meter 9540","=""2018-12-12 12:33:53""","131.20","0"
"10009540","Meter 9540","=""2018-12-12 12:33:55""","131.20","0"
"10009540","Meter 9540","=""2018-12-12 12:33:57""","131.20","0"
"10009540","Meter 9540","=""2018-12-12 12:33:59""","130.70","0"
"10009540","Meter 9540","=""2018-12-12 12:34:01""","130.70","0"
"10009540","Meter 9540","=""2018-12-12 12:34:03""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:34:05""","130.60","0"
"10009540","Meter 9540","=""2018-12-12 12:34:07""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:34:09""","130.40","0"
"10009540","Meter 9540","=""2018-12-12 12:34:11""","130.60","0"
"10009540","Meter 9540","=""2018-12-12 12:34:13""","131.20","0"
"10009540","Meter 9540","=""2018-12-12 12:34:15""","131.10","0"
"10009540","Meter 9540","=""2018-12-12 12:34:17""","131.20","0"
"10009540","Meter 9540","=""2018-12-12 12:34:19""","131.10","0"
"10009540","Meter 9540","=""2018-12-12 12:34:21""","131.10","0"
"10009540","Meter 9540","=""2018-12-12 12:34:23""","131.10","0"
"10009540","Meter 9540","=""2018-12-12 12:34:25""","131.20","0"
"10009540","Meter 9540","=""2018-12-12 12:34:27""","130.60","0"
"10009540","Meter 9540","=""2018-12-12 12:34:29""","130.70","0"
"10009540","Meter 9540","=""2018-12-12 12:34:31""","130.80","0"
"10009540","Meter 9540","=""2018-12-12 12:34:33""","130.80","0"
"10009540","Meter 9540","=""2018-12-12 12:34:35""","130.80","0"
"10009540","Meter 9540","=""2018-12-12 12:34:37""","130.80","0"
"10009540","Meter 9540","=""2018-12-12 12:34:39""","131.20","0"
"10009540","Meter 9540","=""2018-12-12 12:34:41""","131.20","0"
"10009540","Meter 9540","=""2018-12-12 12:34:43""","131.10","0"
"10009540","Meter 9540","=""2018-12-12 12:34:45""","131.10","0"
"10009540","Meter 9540","=""2018-12-12 12:34:47""","131.20","0"
"10009540","Meter 9540","=""2018-12-12 12:34:49""","131.30","0"
"10009540","Meter 9540","=""2018-12-12 12:34:51""","131.20","0"
"10009540","Meter 9540","=""2018-12-12 12:34:53""","130.80","0"
"10009540","Meter 9540","=""2018-12-12 12:34:55""","129.70","0"
"10009540","Meter 9540","=""2018-12-12 12:34:57""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:34:59""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:35:01""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:35:03""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:35:05""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:35:07""","130.70","0"
"10009540","Meter 9540","=""2018-12-12 12:35:09""","130.70","0"
"10009540","Meter 9540","=""2018-12-12 12:35:11""","130.70","0"
"10009540","Meter 9540","=""2018-12-12 12:35:13""","130.70","0"
"10009540","Meter 9540","=""2018-12-12 12:35:15""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:35:17""","131.30","0"
"10009540","Meter 9540","=""2018-12-12 12:35:19""","131.20","0"
"10009540","Meter 9540","=""2018-12-12 12:35:21""","129.70","0"
"10009540","Meter 9540","=""2018-12-12 12:35:23""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:35:25""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:35:27""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:35:29""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:35:31""","130.70","0"
"10009540","Meter 9540","=""2018-12-12 12:35:33""","131.40","0"
"10009540","Meter 9540","=""2018-12-12 12:35:35""","131.30","0"
"10009540","Meter 9540","=""2018-12-12 12:35:37""","131.40","0"
"10009540","Meter 9540","=""2018-12-12 12:35:39""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:35:41""","131.90","0"
"10009540","Meter 9540","=""2018-12-12 12:35:43""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:35:45""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:35:47""","131.40","0"
"10009540","Meter 9540","=""2018-12-12 12:35:49""","131.40","0"
"10009540","Meter 9540","=""2018-12-12 12:35:51""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:35:53""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:35:55""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:35:57""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:35:59""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:01""","132.10","0"
"10009540","Meter 9540","=""2018-12-12 12:36:03""","132.10","0"
"10009540","Meter 9540","=""2018-12-12 12:36:05""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:07""","131.80","0"
"10009540","Meter 9540","=""2018-12-12 12:36:09""","131.90","0"
"10009540","Meter 9540","=""2018-12-12 12:36:11""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:13""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:36:15""","131.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:17""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:36:19""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:36:21""","130.80","0"
"10009540","Meter 9540","=""2018-12-12 12:36:23""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:36:25""","131.90","0"
"10009540","Meter 9540","=""2018-12-12 12:36:27""","132.20","0"
"10009540","Meter 9540","=""2018-12-12 12:36:29""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:31""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:33""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:35""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:37""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:39""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:36:41""","130.80","0"
